Varenummer;Navn;Kostpris i danske kroner;Beregnet salgspris i danske kroner
11129010250;fas;312.38 DKK;468.52 DKK
1112901025095;fas;359.62 DKK;467.55 DKK
11129010500;fas;312.38 DKK;437.33 DKK
1112901050095;fas;428.48 DKK;557.02 DKK
11129011000;fas;362.85 DKK;507.98 DKK
1112901100095;fas;454.5 DKK;636.3 DKK
11129011500;fas;405 DKK;567 DKK
11129012000;fas;450.98 DKK;631.35 DKK
1112901200095;fas;671.02 DKK;939.45 DKK
11129012500;fas;500.62 DKK;700.88 DKK
1112901250095;fas;618.75 DKK;866.25 DKK
11129013000;fas;543.75 DKK;761.25 DKK
1112901300095;fas;905.7 DKK;1358.55 DKK
11129013500;fas;589.5 DKK;884.25 DKK
1112901350095;fas;754.88 DKK;1132.35 DKK
11129014000;fas;610.72 DKK;916.12 DKK
1112901400095;fas;799.72 DKK;1199.55 DKK
11129014500;fas;676.88 DKK;1015.35 DKK
1112901450095;fas;889.5 DKK;1334.25 DKK
11129015000;fas;746.78 DKK;1120.12 DKK
1112901500095;fas;983.1 DKK;1474.65 DKK
11129015555;fas;1077.22 DKK;1615.8 DKK
1112901555595;fas;1028.47 DKK;1542.75 DKK
11129015556;fas;924.98 DKK;1294.95 DKK
1112901555695;fas;1039.5 DKK;1455.3 DKK
11129015557;fas;1064.1 DKK;1489.72 DKK
11129015558;fas;1740.15 DKK;2610.22 DKK
11129015559;fas;1092.3 DKK;1638.45 DKK
11129020250;fas;645.6 DKK;968.4 DKK
1112902025095;fas;619.88 DKK;929.85 DKK
11129020500;fas;727.35 DKK;945.52 DKK
1112902050095;fas;689.78 DKK;1034.62 DKK
11129021000;fas;844.88 DKK;1267.35 DKK
1112902100095;fas;914.7 DKK;1372.05 DKK
11129021500;fas;991.88 DKK;1388.62 DKK
1112902150095;fas;1148.32 DKK;1722.52 DKK
11129022000;fas;1113.97 DKK;1671 DKK
1112902200095;fas;1377.98 DKK;2066.92 DKK
11129022500;fas;1254.6 DKK;1630.95 DKK
1112902250095;fas;1616.7 DKK;2425.05 DKK
11129023000;fas;1396.88 DKK;2095.35 DKK
1112902300095;fas;1856.55 DKK;2784.82 DKK
11129023500;fas;1539.22 DKK;2308.8 DKK
1112902350095;fas;2110.28 DKK;3165.45 DKK
11129024000;fas;1688.85 DKK;2533.27 DKK
1112902400095;fas;2335.2 DKK;3502.8 DKK
11129024500;fas;1821.22 DKK;2731.8 DKK
